estim_params,param,index,delta_median_pct,delta_iqr25_pct,delta_iqr75_pct,ci_low,ci_high,n_fixed_grp,n_free_grp
9,mu0,AICc,,,,,,1,0
9,mu0,MNCI,,,,,,1,0
9,mu0,RSQ2,,,,,,1,0
9,mu0,GSS,,,,,,1,0
9,betaG0,AICc,,,,,,0,1
9,betaG0,MNCI,,,,,,0,1
9,betaG0,RSQ2,,,,,,0,1
9,betaG0,GSS,,,,,,0,1
9,betaF0,AICc,,,,,,1,0
9,betaF0,MNCI,,,,,,1,0
9,betaF0,RSQ2,,,,,,1,0
9,betaF0,GSS,,,,,,1,0
9,Kn0,AICc,,,,,,0,1
9,Kn0,MNCI,,,,,,0,1
9,Kn0,RSQ2,,,,,,0,1
9,Kn0,GSS,,,,,,0,1
9,Kg0,AICc,,,,,,1,0
9,Kg0,MNCI,,,,,,1,0
9,Kg0,RSQ2,,,,,,1,0
9,Kg0,GSS,,,,,,1,0
9,Kf0,AICc,,,,,,0,1
9,Kf0,MNCI,,,,,,0,1
9,Kf0,RSQ2,,,,,,0,1
9,Kf0,GSS,,,,,,0,1
9,Kig0,AICc,,,,,,0,1
9,Kig0,MNCI,,,,,,0,1
9,Kig0,RSQ2,,,,,,0,1
9,Kig0,GSS,,,,,,0,1
9,Kie0,AICc,,,,,,1,0
9,Kie0,MNCI,,,,,,1,0
9,Kie0,RSQ2,,,,,,1,0
9,Kie0,GSS,,,,,,1,0
9,Yxn,AICc,,,,,,0,1
9,Yxn,MNCI,,,,,,0,1
9,Yxn,RSQ2,,,,,,0,1
9,Yxn,GSS,,,,,,0,1
9,Yxg,AICc,,,,,,0,1
9,Yxg,MNCI,,,,,,0,1
9,Yxg,RSQ2,,,,,,0,1
9,Yxg,GSS,,,,,,0,1
9,Yxf,AICc,,,,,,0,1
9,Yxf,MNCI,,,,,,0,1
9,Yxf,RSQ2,,,,,,0,1
9,Yxf,GSS,,,,,,0,1
9,Yeg,AICc,,,,,,0,1
9,Yeg,MNCI,,,,,,0,1
9,Yeg,RSQ2,,,,,,0,1
9,Yeg,GSS,,,,,,0,1
9,Yef,AICc,,,,,,0,1
9,Yef,MNCI,,,,,,0,1
9,Yef,RSQ2,,,,,,0,1
9,Yef,GSS,,,,,,0,1
8,mu0,AICc,,,,,,1,14
8,mu0,MNCI,,,,,,1,14
8,mu0,RSQ2,,,,,,1,14
8,mu0,GSS,,,,,,1,14
8,betaG0,AICc,-2.783,-3.545,-1.964,-5.187,-0.498,10,5
8,betaG0,MNCI,-17.931,-21.143,-13.666,-27.608,-7.42,10,5
8,betaG0,RSQ2,4.197,2.488,5.503,0.075,8.929,10,5
8,betaG0,GSS,-28.981,-35.919,-20.391,-37.731,-2.883,10,5
8,betaF0,AICc,,,,,,15,0
8,betaF0,MNCI,,,,,,15,0
8,betaF0,RSQ2,,,,,,15,0
8,betaF0,GSS,,,,,,15,0
8,Kn0,AICc,,,,,,14,1
8,Kn0,MNCI,,,,,,14,1
8,Kn0,RSQ2,,,,,,14,1
8,Kn0,GSS,,,,,,14,1
8,Kg0,AICc,1.86,1.225,3.07,-0.327,5.14,7,8
8,Kg0,MNCI,18.917,12.73,27.601,-1.43,37.655,7,8
8,Kg0,RSQ2,-3.008,-4.273,-2.025,-7.961,0.044,7,8
8,Kg0,GSS,27.365,17.588,43.798,-1.044,56.679,7,8
8,Kf0,AICc,1.642,1.185,2.246,0.578,3.291,2,13
8,Kf0,MNCI,14.987,11.144,21.804,3.611,34.128,2,13
8,Kf0,RSQ2,-2.024,-3.274,-1.175,-5.711,0.358,2,13
8,Kf0,GSS,21.703,10.946,34.107,-1.044,56.054,2,13
8,Kig0,AICc,1.492,0.05,2.942,-2.036,5.02,2,13
8,Kig0,MNCI,1.736,-4.317,11.804,-20.381,31.154,2,13
8,Kig0,RSQ2,-3.419,-6.538,-2.349,-8.197,1.141,2,13
8,Kig0,GSS,-7.349,-8.838,10.824,-10.879,17.046,2,13
8,Kie0,AICc,2.336,1.173,3.695,-0.836,6.369,9,6
8,Kie0,MNCI,8.793,-0.069,17.187,-16.256,35.152,9,6
8,Kie0,RSQ2,-5.174,-6.422,-3.792,-9.54,-1.354,9,6
8,Kie0,GSS,30.18,24.095,33.717,11.455,63.459,9,6
8,Yxn,AICc,-2.283,-3.458,-1.17,-5.702,1.034,6,9
8,Yxn,MNCI,-8.082,-14.667,0.069,-26.01,18.339,6,9
8,Yxn,RSQ2,5.457,4.01,6.966,1.177,9.932,6,9
8,Yxn,GSS,-23.134,-24.903,-19.423,-37.476,-9.157,6,9
8,Yxg,AICc,-0.836,-1.318,-0.03,-2.523,1.416,3,12
8,Yxg,MNCI,0.233,-8.665,4.975,-21.7,14.566,3,12
8,Yxg,RSQ2,0.226,-0.608,2.171,-3.121,4.889,3,12
8,Yxg,GSS,9.695,-0.619,27.348,-17.782,60.675,3,12
8,Yxf,AICc,0.328,-1.799,1.442,-5.721,3.05,4,11
8,Yxf,MNCI,-11.013,-21.594,-0.66,-42.414,11.673,4,11
8,Yxf,RSQ2,1.272,0.629,3.099,-2.935,11.402,4,11
