param,OR,p_value,a_fixed_top15,b_free_top15,c_fixed_rest,d_free_rest,q_value,param_label
mu0,20.738095238095237,5.572020860517766e-06,13,2,21,67,3.621813559336548e-05,$\mu_0$
betaG0,3.183673469387755,0.0933280383742878,12,3,49,39,0.3033161247164353,$\beta_{G0}$
betaF0,1.4444444444444444,1.0,13,2,72,16,1.0,$\beta_{F0}$
Kn0,0.04822043628013777,5.572020860517766e-06,2,13,67,21,3.621813559336548e-05,$K_{n0}$
Kg0,0.3979591836734694,0.16159778148256504,5,10,49,39,0.4201542318546691,$K_{g0}$
Kf0,0.7571428571428571,0.7774926831898109,5,10,35,53,0.9300341558364277,$K_{f0}$
Kig0,0.4568764568764569,0.2623922894207607,4,11,39,49,0.5685166270783149,$K_{ig0}$
Kie0,1.1938775510204083,0.7869519780154388,9,6,49,39,0.9300341558364277,$K_{ie0}$
Yxn,0.6666666666666666,0.58047081587401,6,9,44,44,0.8384578451513477,$Y_{xn}$
Yxg,1.5897435897435896,0.5467335283221788,6,9,26,62,0.8384578451513477,$Y_{xg}$
Yxf,0.9163636363636364,1.0,4,11,25,63,1.0,$Y_{xf}$
Yeg,3.1776315789473686,0.053843584487781856,7,8,19,69,0.2333221994470547,$Y_{eg}$
Yef,1.6363636363636365,0.48341556699976806,4,11,16,72,0.8384578451513477,$Y_{ef}$
