param,criterion,spearman_rho,delta_mean_fixed_minus_free,param_label
mu0,AICc,-0.6346818213088169,-12.466577074519108,$\mu_0$
mu0,MNCI,-0.7180098503646791,-0.0720821972532566,$\mu_0$
mu0,RSQ2,0.6742626351103514,0.058610708745593265,$\mu_0$
mu0,GSS,-0.4013633399524028,-13.792825022323655,$\mu_0$
betaG0,AICc,-0.42460505767143064,-8.400002078111243,$\beta_{G0}$
betaG0,MNCI,-0.24519446992293883,-0.026379519883958452,$\beta_{G0}$
betaG0,RSQ2,0.3907163910967155,0.03376456559113572,$\beta_{G0}$
betaG0,GSS,-0.25649069211451053,-8.810341465331355,$\beta_{G0}$
betaF0,AICc,-0.20120742795867141,-5.079794477737806,$\beta_{F0}$
betaF0,MNCI,-0.22700325205593694,-0.03054467256587029,$\beta_{F0}$
betaF0,RSQ2,0.16767285663222617,0.018331767315810432,$\beta_{F0}$
betaF0,GSS,-0.0705085858658592,-3.3603471730528582,$\beta_{F0}$
Kn0,AICc,0.6346818213088169,12.466577074519108,$K_{n0}$
Kn0,MNCI,0.7180098503646791,0.0720821972532566,$K_{n0}$
Kn0,RSQ2,-0.6742626351103514,-0.058610708745593265,$K_{n0}$
Kn0,GSS,0.4013633399524028,13.792825022323655,$K_{n0}$
Kg0,AICc,0.32757946812729277,6.524684896111268,$K_{g0}$
Kg0,MNCI,0.1176932220816621,0.010893634183455791,$K_{g0}$
Kg0,RSQ2,-0.35242581501119924,-0.030492737308303486,$K_{g0}$
Kg0,GSS,0.2608866422810176,8.806055561889245,$K_{g0}$
Kf0,AICc,0.2438793229919391,4.568627776301668,$K_{f0}$
Kf0,MNCI,0.24990930625272875,0.02767588766606216,$K_{f0}$
Kf0,RSQ2,-0.2512493025329043,-0.02237981880742146,$K_{f0}$
Kf0,GSS,0.21238941040781512,7.534140436450066,$K_{f0}$
Kig0,AICc,0.17017554018169104,3.296175065951445,$K_{ig0}$
Kig0,MNCI,0.09005398235295714,0.0011662219675099839,$K_{ig0}$
Kig0,RSQ2,-0.18805390432529281,-0.014315658740358006,$K_{ig0}$
Kig0,GSS,-0.11322963957614464,-5.165420518135093,$K_{ig0}$
Kie0,AICc,0.09150997023256603,1.579716933783061,$K_{ie0}$
Kie0,MNCI,0.14022750834198966,0.01978250118281341,$K_{ie0}$
Kie0,RSQ2,-0.2870384677798474,-0.02361529859800804,$K_{ie0}$
Kie0,GSS,0.6471532427238302,21.071139342221095,$K_{ie0}$
Yxn,AICc,-0.13981852100740944,-2.2170027547833797,$Y_{xn}$
Yxn,MNCI,-0.24892923599917288,-0.03138995847182108,$Y_{xn}$
Yxn,RSQ2,0.3724138176365579,0.029893875037369955,$Y_{xn}$
Yxn,GSS,-0.736987344375504,-23.532937097674903,$Y_{xn}$
Yxg,AICc,0.04515955751640435,1.3204536967726028,$Y_{xg}$
Yxg,MNCI,-0.11501574804959233,-0.013267638174129043,$Y_{xg}$
Yxg,RSQ2,-0.044453939430210546,-0.005549604846694978,$Y_{xg}$
Yxg,GSS,0.28013038021894576,10.268505590781729,$Y_{xg}$
Yxf,AICc,0.17933124432777897,3.6277403515346975,$Y_{xf}$
Yxf,MNCI,0.04501432043855181,-0.005957160765369229,$Y_{xf}$
Yxf,RSQ2,-0.1742489823427812,-0.01506047983246983,$Y_{xf}$
Yxf,GSS,0.07913807948067979,3.0842915013036887,$Y_{xf}$
Yeg,AICc,-0.418694278347804,-9.240177887898824,$Y_{eg}$
Yeg,MNCI,-0.06013562346108495,0.008329185750745066,$Y_{eg}$
Yeg,RSQ2,0.44575530890529214,0.04240822422749391,$Y_{eg}$
Yeg,GSS,-0.31045015611785104,-12.885180061265267,$Y_{eg}$
Yef,AICc,-0.1849131691301517,-4.727149103071156,$Y_{ef}$
Yef,MNCI,0.23031595619335862,0.0450737582280103,$Y_{ef}$
Yef,RSQ2,0.1386848768476138,0.015775466481377953,$Y_{ef}$
Yef,GSS,-0.053657839256517244,-1.207608441103666,$Y_{ef}$
