model_id,votes,vote_share,rank_sd,rank_iqr,fitness_mean,fitness_sd,fitness_iqr,top15_rank,n_fixed,n_free,pattern,norm_AICc,norm_MNCI,norm_RSQ2,norm_GSS,vote_TOPSIS::No-priority,vote_LINMAP::No-priority,vote_VIKOR::No-priority,vote_SAW::No-priority,vote_MEW::No-priority,vote_GRA::No-priority,vote_FUCA::No-priority,vote_TOPSIS::Parsimony,vote_LINMAP::Parsimony,vote_VIKOR::Parsimony,vote_SAW::Parsimony,vote_MEW::Parsimony,vote_GRA::Parsimony,vote_FUCA::Parsimony,vote_TOPSIS::Goodness-of-fit,vote_LINMAP::Goodness-of-fit,vote_VIKOR::Goodness-of-fit,vote_SAW::Goodness-of-fit,vote_MEW::Goodness-of-fit,vote_GRA::Goodness-of-fit,vote_FUCA::Goodness-of-fit,vote_TOPSIS::Identifiability,vote_LINMAP::Identifiability,vote_VIKOR::Identifiability,vote_SAW::Identifiability,vote_MEW::Identifiability,vote_GRA::Identifiability,vote_FUCA::Identifiability,vote_TOPSIS::Sensitivity,vote_LINMAP::Sensitivity,vote_VIKOR::Sensitivity,vote_SAW::Sensitivity,vote_MEW::Sensitivity,vote_GRA::Sensitivity,vote_FUCA::Sensitivity
1750,23.0,0.6571428571428571,12.834892044014731,11.0,0.9310924369747898,0.1258322749413209,0.107843137254902,1,6,7,1110010100010,1.0,0.8933713030198036,0.9827128603388665,0.5900326634814527,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1860,4.0,0.1142857142857142,15.523741643748414,13.5,0.8756302521008404,0.1521935455269452,0.1323529411764706,2,6,7,1110001101000,0.76201740955962,0.9920621171343893,0.7891485882166668,0.5659157404460519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
2264,4.0,0.1142857142857142,31.826684010843017,34.5,0.3131652661064426,0.3120263138317943,0.338235294117647,3,6,7,0001111100100,0.019669007184860032,0.7067648080761686,0.2876552731452713,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
2324,2.0,0.0571428571428571,14.084200576616087,10.0,0.7980392156862747,0.1380803978099616,0.0980392156862745,4,6,7,0111000101010,0.6039533998816458,0.7607828019831545,0.6887347256045385,0.8207077481852733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1966,1.0,0.0285714285714285,26.9548330584718,3.5,0.8599439775910366,0.2642630692007039,0.0343137254901961,5,6,7,1110000010101,0.8489978637988471,0.9941524805260352,1.0,0.3902944276072179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2245,1.0,0.0285714285714285,26.26151608134527,7.5,0.8378151260504199,0.2574658439347576,0.0735294117647059,6,6,7,1110000011010,0.7696683982262128,1.0,0.9472870570084319,0.39339560421866804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1729,0.0,0.0,15.971613474373523,13.0,0.8949579831932775,0.1565844458271914,0.1274509803921568,7,6,7,1110001100001,0.9241375906171908,0.8953114218176743,0.9322642336860598,0.5566393080284477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2653,0.0,0.0,9.916627239052566,11.5,0.8596638655462187,0.0972218356769859,0.1127450980392157,8,6,7,1110100100100,0.6899683951398338,0.9658231146294994,0.699342332004182,0.6187196443938249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2247,0.0,0.0,12.55642726042,11.5,0.8585434173669467,0.1231022280433333,0.1127450980392157,9,6,7,1010010011010,0.6019785466095338,0.9709880271786452,0.8745591312516876,0.5866026174299067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1752,0.0,0.0,19.533638299356426,4.0,0.8557422969187674,0.1915062578368276,0.0392156862745097,10,6,7,1110010010010,0.6939125759841285,0.9892450371509642,0.8997435025199889,0.4845372448301694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
