index,type,param,delta_pct,q_value
Akaike,beneficial,Yef,-120.82243342267294,9.356432164318507e-21
Akaike,beneficial,Yxf,-118.09008778109015,1.464913239138828e-19
Akaike,beneficial,Yxg,-114.9152316894024,2.962034818852496e-16
Akaike,beneficial,Yeg,-105.29181617011383,1.3520765848454366e-10
Akaike,beneficial,Kf0,-101.80441182089172,4.85606860022221e-12
Akaike,costly,Kn0,256.33591863363256,0.004079938784921072
Akaike,costly,betaF0,124.51707080426094,0.11236806057609325
Akaike,costly,Kie0,51.293896466149874,0.30469758762886384
Akaike,costly,betaG0,-45.53318612979787,0.11518125534028553
Akaike,costly,Kg0,-46.49266728283979,0.10748494883642765
MeanCC,beneficial,Yef,-53.153695834397425,4.399355769027538e-19
MeanCC,beneficial,Yeg,-44.8851888916514,1.8159575789274425e-12
MeanCC,beneficial,Yxg,-38.254711416523435,1.1655808690774432e-08
MeanCC,beneficial,Yxf,-37.422845004947,3.28295071372294e-08
MeanCC,beneficial,betaF0,-18.357152011980187,0.09212341910191307
MeanCC,costly,Kg0,21.193302843716225,0.0329620370239142
MeanCC,costly,Kn0,11.595252987750593,0.2194697752719451
MeanCC,costly,Yxn,8.887581243747503,0.32724077772078747
MeanCC,costly,Kig0,0.5040641484730002,0.97495514619935
MeanCC,costly,betaG0,-5.767670720233051,0.518278316220408
Fobj,beneficial,Yxn,-47.748792045301045,3.387109256478563e-28
Fobj,beneficial,Kg0,-27.8722264315666,1.129325206503549e-07
Fobj,beneficial,mu0,-25.17982380691795,1.954421584663102e-06
Fobj,beneficial,Kig0,-12.976982770808473,0.0329620370239142
Fobj,beneficial,Yef,-3.59258211061483,0.5623106452350535
Fobj,costly,Kie0,64.45022783484796,1.3759280354129671e-15
Fobj,costly,betaG0,35.06228738000002,1.5569941051655945e-06
Fobj,costly,Kn0,33.65378844061864,1.954421584663102e-06
Fobj,costly,betaF0,16.5323578229361,0.04467394240427365
Fobj,costly,Yxg,15.087181715556671,0.03182513510927266
